,reviews
339,"
Recently I was visited by a close friend, who also  had a Lava blaze 5G mobile,I never used a Lava gadget and so bit taken aback,but to my surprise he was all praise for most of its functions.I than gone through some users and experts views and  decided to buy. Pros a mobile needs to be presenablle  and comfort to hold and work without much of fuss.On this count it  is a PASS.Now  what surprise me  that a Android  13 upgrade was on the card.this thrilled me  immensely as Lava was silent on this aspect.A minimum of 2-3 upgrades on Android are a must.Processor I also  working well. 5G Speed was at par with other mobiles in this price bracket.Infact this is the cheapest 5Gvset which is holding its Head high. looks are average.In Cons  battery charge is slow which if provided with a fast Charging would have enhanced it's utility.All future mobiles without this enhanced utility would have been most welcome.My comments are keeping with its price bracket.All in all I am at peace with this buy Well done LAVA,you have done it
"
340,"
लावा कंपनी ने बहुत ही अच्छा और सबसे सस्ता 5 जी फोन दिया है इस कम रेट पे और 5 जी फोन मिलना मुश्किल है इस फोन का फीचर करीब 15 से 18 हजार के बीच में मिलने वाला फोन में देखने को मिलेगा ये फोन 2 घंटे 40-45 मिनट में चार्ज कर देता है और बहुत फास्ट काम भी करता है लेकिन बात डिस्प्ले की करें तो डिस्प्ले में क्लियार्टी थोड़ा कम देखने को मिलेगा जहां 360 पे 4के विडियो देखने पे जितना अच्छा से दिखाई देता है वहा इस फोन में 480 से 720 पे देखना पड़ता है बाकी इस फोन में कोई दिक्कत नहीं है हर किसी फोन में खासियत अलग अलग है  किसी ना किसी में कुछ कमी जरूर रहती है मैंने इस फोन को रेट किया है 4
"
341,"
This phone is amazing Indian make phone. Setting up phone was much easier.  The price is very economical.  I liked its features.
"
342,"
Bhartiy (Indian) brand dwara banaya gaya sandar mobile phone he joki uchit avam Kam kimat par uplabdh 5G mobile he jisme 8 5G band support he . Add free
"
343,"
Good points:It's been almost 2 months since I purchased this phone. It's been running good for most notmal use cases. I use my mobile phone for calls, work (emails/chats/video calls), browsing, social media, & watching videos & podcasts. Am not into gaming. But for my day-to-day use the battery lasts for the whole day, 5G reception has been problem-free, UI/UX has been decent so far. Build quality is good - despite of falling on floor on some occasions, no issues (ofc, I have put it in a mobile  case & have got armoured glass to protect the screen)!Limitations:Volume, when you put your phone on speaker mode, is bit low.. esp in noisy env.Also felt the camera quality could have been better.
"
344,"
Very good choice for entry level 5G phone. Charging cable is very low quality, Charger is average quality, but works decently. Average quality back cover case is also provided.Camera quality is average.UI is clean and now Android 13 update is also available (Already updated).Sometimes network issue (shows good network in status bar but at backend no network), which doesn't resolve on starting and stopping the Airplane mode. For this you have to restart the device.Overall good performance, gets a bit heated while using WiFi for a long period.
"
345,"
Value for money. Charging capacity is too slow.
"
346,"
It heats while charging and long use.not expected from lava.
"
347,"
Have all the required features within low budget.. proudly made in India.. camera quality could have been better.. otherwise all good..under 12k.. although 5G
"
348,"
It's been 7 days since I started using it. In this 1 week my experience with Lava Blaze 5G was more bad than good. Although it wasn't worse as some might think. So, let's start the review from where it needs to be.Delivery and Unboxing- The package I received was really the worst in my entire life. There was only the amazon cardboard box but that's it. It was very wore out, loose and completely opened from one side. On top of that there was no foam, bubble wrap or thermocol sheet at all to protect from accidental shocks or any damage. At first impression it felt like my package has been tampered but thankfully that's not the case. I would request amazon to improve their packaging and I would like to ask about why their packaging quality got degraded over the years. I didn't pay 12k rupees to just receive whatever garbage you can give me. It was an entire months hard earned money. When I started unboxing it everything was there safe and sound. Now I took a sigh of relief. What made me more happy was after setting up the phone I saw the battery was 56%. Every phone I bought till now used to have 49% or below. This is the first ever phone that gives 56% out of the box. Even more exciting thing was this phone gives clean Android with no bloatware and limited features too. But let me inform you that this is not Stock Android. It just uses Google apps and doesn't have any mp3 player, video player or even a gallery of it's own. I wonder if they really have to give only Google apps then they could've provided Google Gallery. Also Lava is using a custom skin but it was hidden so brilliantly that you can't find it even if you wanted to. The customization features of Blaze 5G proved that.Battery and Charging- 2nd thing about this phone that impressed me. After unboxing it I charged it upto 79% only and did normal tasks like watching Amazon prime, using Google, phone calls, SMS, WhatsApp etc and after 43 hours and 31 minute the battery was 14%. I really was shocked to see this. Imagine how much time it would take to fully deplete the battery. Also, what could've happened if I charged the phone to 100%. But let me tell you it's not because of the enormous 5000mAh battery. This great backup is only because of Lava using Mediatek Dimensity 700 and how well they optimised the battery. Also the clean Android plays a huge role too as there are no apps that will suck the battery in background. Additionally, the 720x1600p display is also another reason for it as it will do less processing compared to a Full HD+ display. That's why it will consume less power. But in gaming I will say it's same as any other phone. Battery will deplete faster and it also depends on what games you play. They give you a 12W charger in the box but the Lava Customer Care confirmed me that Blaze 5G supports upto 15W charging. So if you already have a 15W charger in home you can easily fast charge it. The 12W charger takes more than 3 hours for charging 0 to 100%. Using a 15W charger will make it a bit faster. Expect upto 2 hours for fully charging with a 15W charger.Display- This phone has a 6.52 inch, 720x1600 (HD+) 90Hz IPS LCD panel, 20:9 aspect ratio with ~269ppi. But don't be disappointed by hearing the resolution numbers. I had seen IRL it feels same as any 1080p display. There is no pixelation, no sluggish-ness and picture quality is great. 90Hz refresh rate makes the phone feel very fast too. Also, the display is very clear in direct sunlight outside. In general the phone is somehow having more nits than anyone else. Just decrease your brightness to the lowest and you'll see that Blaze 5G is still bright than other phones of any price you say. Now this was oddly satisfying to me.CPU and Performance- This phone uses a Mediatek Dimensity 700, 6GB RAM and Mali-G57 MC2 GPU. I has been gaming on this phone since the day I received it and it really impressed me in gaming. I play Eversoul, Brawl Stars, T3 Arena, Asphalt 9, The 7 Deadly Sins Grand Cross, Sword Art Online: Integral Factor and Tasokare Hotel. Eversoul, Asphalt 9 and T3 Arena are actually heavy games and will make your phone heat in no time. They do lag on budget phones and perform badly. But playing these games on Blaze 5G was wonderful. They run really very smooth and have no lags, jitters or any frame drops at all and I play entire day but the temps of this phone never reached 40°. It reached maximum 36°-37° till now. I really loved how Lava worked on the thermals and it doesn't warm at all and always stays at room temps. Let me tell you that just opening Eversoul makes my Samsung Galaxy S20 FE 5G overheat like crazy. It takes only 1-2 minute to get 58.9°. Yes, I switched to Lava Blaze 5G from a 37k S20 FE 5G and that too because of overheating, thermal throttling and even though S20 FE 5G is equipped with a Snapdragon 865 but it still lags while gaming. Some games has started crashing recently too on it. Thankfully Blaze 5G doesn't have any issues and is very stable. I really loved Blaze 5G giving the option of virtual memory too. But let me tell you that virtual memory is only useful for devices under 4GB of RAM. It won't be any helpful for 6GB and above RAM so I had disabled it after first boot. On top of that you will lose a chunk of your storage unnecessarily. I will suggest everyone to use your Blaze 5G with virtual memory disabled. The memory management in this phone has been another impressive thing. If you minimize the apps or games and open it after 30 minutes, it will resume from where you left and didn't reload. Where my more expensive S20 FE 5G sometimes reloads the apps and games.Audio- This phone gave me mixed feelings in the matter of audio. Playing music with YT music will feel something else, playing music with Google Files will make you feel something else and facebook, WhatsApp or YouTube will give another kind of feeling. Sometimes it can sound hollow, sometimes it will sound suppress but sometimes it will sound great. It depends on what app you're using and if the music is a mp3 file or you're streaming online. The presence of 3.5mm jack was really impressive too. You can use Bluetooth Neckband, TWS earbuds, 3.5mm earphones and Type-C earphones. I have used pTron Bassbuds Duo, KDM A-2 neckband and Core Type-C earphones. It support it all. A really great thing that you can't get in 200k 300k rupees phone. I really enjoyed the multi support for audio. Otherwise the lack of 3.5mm jack is becoming very normal in budget phones too.Camera- The photos and videos are exactly what made me hate this phone. This phone comes with Triple Camera AI Setup. Primary one is 50 Megapixels, 2nd module is a 2 Megapixels Macro and 3rd one is not mentioned anywhere but when I asked the Lava Customer Care they told me it is a 0.2 Megapixel VGA module. There is no depth sensor or telephoto lens. A lot of people will dislike this setup but it was good for me as I don't use the telephoto very often. Both the photos and videos are very bad. Sharpness is what a budget phone will give you but there is no HDR, perfect white balance, and while shooting in broad daylight it will overexpose everything. It extremely overexposed my indoor lighting too and I use only 1 CFL bulb for each room. Take this statement as a fact that this camera module will overexpose even a single photon. Let alone broad daylight situation. The colors will be a bit washed out too. I took a photo of my Hero Sprint cycle which is red color but the photo was showing light red/orange-ish color. Software updates of Lava is like non-existent so no idea when we will receive one but these canera issues can be fixed by a software upgrade for sure. But let me tell you that even though Lava advertised Blaze 5G can shoot 2K EIS but that's not the exact matter. You can use EIS in 480p recording too. I have done that and I still don't know if it's a bug or feature but I had shot footages of 480p non-eis, 480p eis, 720p non-eis, 720p eis, 1080p non-eis, 1080p eis, 1440p non-eis and 1440p eis. Glad they didn't lock the EIS function to only 2K. I have attached all the photos so you can take a good look at how both the front and rear camera perform at day and night.Connectivity- Again it impressed me and this time it was in the matter of connectivity. I have used both of my airtel 5G SIM AND THIS PHONE RUNS DUAL 5G 🤩🤩🤩 I was able to use mobile data from both of these SIM cards and I was getting the expected 5G speed. It also runs dual 4G and dual 3G too. Something that even the extremely high priced phones like Samsung S23 Ultra and iPhone 14 series and 15 series don't provide at all but this Lava 5G did it and it really performs flawlessly. WiFi didn't have any disconnection issues at all and the Bluetooth was able to transfer 4GB of data a little bit faster which I never expected. Lava has played some serious games here with the dual 5G and such capable Bluetooth module. Hotspot didn't face any issues too. Sharing files over both hotspot and Nearby Share was flawlessly fast. Kudos to Lava for providing a connectivity that challenges phones (not so) worth of lakhs.Final Verdict- So... Should you buy this phone or not? I will say yes and will recommend it but it also depends from person to person. It was very depressing to see that they don't have any service center in Bhubaneswar, Odisha too. Thankfully they compensated this by providing home service so an agent of their will come to your home and will fix everything but if something serious is found, then they'll take the device to service center. Overall this device outstands everything and I have seen a test where Blaze 5G beats S22 Ultra in 5G speed test. So undoubtedly a great device but it is having a huge headroom for improvements.Thank you and have a nice day 😊
"
349,"
Recently I was visited by a close friend, who also  had a Lava blaze 5G mobile,I never used a Lava gadget and so bit taken aback,but to my surprise he was all praise for most of its functions.I than gone through some users and experts views and  decided to buy. Pros a mobile needs to be presenablle  and comfort to hold and work without much of fuss.On this count it  is a PASS.Now  what surprise me  that a Android  13 upgrade was on the card.this thrilled me  immensely as Lava was silent on this aspect.A minimum of 2-3 upgrades on Android are a must.Processor I also  working well. 5G Speed was at par with other mobiles in this price bracket.Infact this is the cheapest 5Gvset which is holding its Head high. looks are average.In Cons  battery charge is slow which if provided with a fast Charging would have enhanced it's utility.All future mobiles without this enhanced utility would have been most welcome.My comments are keeping with its price bracket.All in all I am at peace with this buy Well done LAVA,you have done it
"
350,"
लावा कंपनी ने बहुत ही अच्छा और सबसे सस्ता 5 जी फोन दिया है इस कम रेट पे और 5 जी फोन मिलना मुश्किल है इस फोन का फीचर करीब 15 से 18 हजार के बीच में मिलने वाला फोन में देखने को मिलेगा ये फोन 2 घंटे 40-45 मिनट में चार्ज कर देता है और बहुत फास्ट काम भी करता है लेकिन बात डिस्प्ले की करें तो डिस्प्ले में क्लियार्टी थोड़ा कम देखने को मिलेगा जहां 360 पे 4के विडियो देखने पे जितना अच्छा से दिखाई देता है वहा इस फोन में 480 से 720 पे देखना पड़ता है बाकी इस फोन में कोई दिक्कत नहीं है हर किसी फोन में खासियत अलग अलग है  किसी ना किसी में कुछ कमी जरूर रहती है मैंने इस फोन को रेट किया है 4
"
351,"
This phone is amazing Indian make phone. Setting up phone was much easier.  The price is very economical.  I liked its features.
"
352,"
Bhartiy (Indian) brand dwara banaya gaya sandar mobile phone he joki uchit avam Kam kimat par uplabdh 5G mobile he jisme 8 5G band support he . Add free
"
353,"
Good points:It's been almost 2 months since I purchased this phone. It's been running good for most notmal use cases. I use my mobile phone for calls, work (emails/chats/video calls), browsing, social media, & watching videos & podcasts. Am not into gaming. But for my day-to-day use the battery lasts for the whole day, 5G reception has been problem-free, UI/UX has been decent so far. Build quality is good - despite of falling on floor on some occasions, no issues (ofc, I have put it in a mobile  case & have got armoured glass to protect the screen)!Limitations:Volume, when you put your phone on speaker mode, is bit low.. esp in noisy env.Also felt the camera quality could have been better.
"
354,"
Very good choice for entry level 5G phone. Charging cable is very low quality, Charger is average quality, but works decently. Average quality back cover case is also provided.Camera quality is average.UI is clean and now Android 13 update is also available (Already updated).Sometimes network issue (shows good network in status bar but at backend no network), which doesn't resolve on starting and stopping the Airplane mode. For this you have to restart the device.Overall good performance, gets a bit heated while using WiFi for a long period.
"
355,"
Value for money. Charging capacity is too slow.
"
356,"
It heats while charging and long use.not expected from lava.
"
357,"
Have all the required features within low budget.. proudly made in India.. camera quality could have been better.. otherwise all good..under 12k.. although 5G
"
358,"
Sound quality not glear
"
359,"
Good product
"
360,"
I am impressed to this product really #lawamobile is done a beautiful work on their smartphone. Blaze5g is a good product 6.5 inches big display, 6+128GB,50+2+2mp triple camera setup but ultra Wide angle is quite good not very good. I thik lava need to work on it in blaze5g model. I hope this problem could be solved by software update. 8mp selfi cam.. is also a good part selfi quality  good,detailed. Lawa needs also work on speaker part. Connectivity good 4g also work. Over all performance is good. This is a value for money product in this price range.
"
361,"
great phone with great features. if you wanna get a phone at this price, I'll recommend to go for this.
"
362,"
Good performance. Good battery back up
"
363,"
Nice
"
364,"
For a basic purpose with 5g connection and ok picture phone is ok. But if you don't going to use 5g you can go for lava 4g models like lava blaze 4g. In that Rate thare is no big complaints except heating issue. But if you having more budget and you use regular camera or doing video blogs I would say go for more strong processer. And yes for gaming also it's not a good one guys.
"
365,"
Good
"
366,"
Except Screen and camera other features are fine.
"
367,"
Good
"
368,"
Good used 1 month but not satisfied in battery segment and camera quality because when I'm in video call in WhatsApp the screen is not bright + black and dull. I checked whether it's internet issues but no. It's mobile issue please fix it @Lava Blaze 5G
"
369,"
Thank you lava please upgrade your software
"
370,"
Better as according to price segment
"
371,"
Nice product
"
372,"
This phone is good
"
373,"
With this price segment it's very good product.. microphone noise cancellation is not there.. camera quality is average..os is very smooth and no bootwares
"
374,"
Good product 👌
"
375,"
Like1) Look and feel2) camera3) display4) clearer viewCons1) slight lag in some of the applications
"
376,"
Bahut achha hai. Thanks lava
"
377,"
Fantastic ❤
"
378,"
Nice phone but camera quality bad good for multitasking and avarage gaming on this 6/128 gb memory nice 👍
"
379,"
I am using this phone from one week. I found an issue. Tried Indian company. Let’s hope good
"
380,"
Good
"
381,"
Totally satisfied with the purchase. Speed is good for day to day use, I never play high end games. For social media use there is no lag. Camera quality ok. 5G speed of 700 MBPS (jio).
"
382,"
I Love this Mobile it is very good to use battery life is also good and camera is also nice and display is very good
"
383,"
Everything thing is good except two things-1. Google phone app and Lava call interface does not match hence call gets cut after seconds2. Speaker volume is not loud
"
384,"
Charger is very slow... Baaki sab first class hai...
"
385,"
Best phone h Bhai bzt me b net speed best..
"
386,"
Thanks for lava
"
387,"
Nice phone all features are Good
"
388,"
My samsung phone (M 31) suddenly stopped working at the end of the month, was in a tight budget so took a chance with Lava ... Can say frankly, I am not at all disappointed... Using it for last one month , working just fine ... Iv loaded so many apps still running smoothly...Pros:Value for money pricingFlagship lookDecent build qualityVibration and ring volume is loud enough90 Hz screen is smooth enoughExtremely good battery back up , mine was drained till 10% after 2 days of vigorous use.3.5 headphone jackOther required features are also good.Cons:No fast charging, it takes near about 2.5 hrs to charge is from 10%-100%. The highest input is 15 watt max . You will get a 10 watt charger along with it.The audio out put with the headphones are low and not that much good.Camera is ok for daily use but not at all 50 MP.my biggest disappointment is the secondary camera, it's 8 MP mentioned but performs really bad in low light conditions.Here is the detailed review of the product. Choose according to your needs. For this price or lower, it's value for money.
"
389,"
Overal all good but charging  very very slow .
"
390,"
Super cute and beautiful
"
391,"
Calls are getting disconnected every 2min.
"
392,"
Great phone, works best.
"
393,"
Good
"
394,"
very nice
"
395,"
Happy to say that it's a good one. I really had low expectations on Lava but definitely it changed. It may not be great one, but really worth of money.1. UI is not that great, still there are gaps and scope to improve2. Battery is good and definitely above expectations3. Battery charging time is actually very long, it may be a negative. It takes aprx. 2.5 hrs to full charge4. Sound quality is good5. Camera is not great but not really bad. Good for those who does not use much camera etc.
"
396,"
Hello I usually don't review the product which I have received or ordered but this time I have to say that I got good deal under 12k this is the best true 5G handset for you I have been using this phone for like 1 week and my experience is great because what's lava offer you is admirable under 12k you get stock Android with clean look and also the dimesity 700 with 5000mah battery that lasts for 1.5 days minimalist use and 2 days on stand by use display is also very impressive I am enjoying the 4k videos 8n YouTube and 90htz display is the perfect go with this display I am loving it you will have to compromise the Google apps like ( Gtv Gfiles Gnotes & YouTube music ohh man yt music is the worst thing yt came up with it takes too much load your songs and lag soo much while online streaming)Conclusion: under 12k the best phone for you and proudlyindianThanks mate
"
397,"




                    The media could not be loaded.
                


"
398,"
Valu for money 📱
"
399,"
Socha tha 2-3 months ke liye ek temporary phone le lu. Lekin ise use krne ke bad mujhe ye phone kafi achha lga. Avi 3 months ho gye lekin main ab yahi phone aage v use krne wala hu. Koi Kami nhi hai isme. I'm fully satisfied.
"
400,"
Value for money
"
401,"
When I recieved the phone ,the phone is in good condition but in the phone battery drain issue found , I connected to the lava care and they changed my phone phone battery within one day .I was totally impressed by the service of an Indian brand.Good job Lava.
"
402,"
Good phone ,indian brand
"
403,"
Just go for it. It's bestest trully make in India product. It's HD display but really much better than lots of other Chinese brand FHD display. It's 6gb ram runs smoothly. My Airtel 5g works awesome. It's really best Indian product. Request every Indian to go for lava product . It's really nice product with best price. Infact this is my second, earlier bought for my father and then I bought for myself as wellJust go for it if you believe in make in India.
"
404,"
Very good phone at the price
"
405,"
Service Center may not have located in small city. this is only draw back of this company. But product quality is value of money ..
"
406,"
Pros* The battery  life is good.* fingerprint scanner is good* The glass and the build quality are good* No network issues (got about 620MBps 5G speeds)* Fairly good memory management* Anonymous call recording* youtube background streaming (can put phone on standby inside the bag and youtube keeps playing!!!)* so far good with Jio-True5G  [Please note that Vo-NR is still unavailable in Jio and Airtel is NSA]. The device on the other hand supports Vo-NR (says so in the signal status)cons:* The placement of fingerprint scanner means accidentally if vol-down and power is pressed it keeps taking screenshots. Also while holding the phone the fingerprint scanner gets activated* The speaker is placed at the bottom. If you lie down in the bed and keep it on your chest, the speaker gets blocked* Bit bulkyOverall: Very good phone for this price budget. Quite smooth and good to use.
"
407,"
A good valuable 5g mobile with 90hz standard display and with a good processorIn affordable price
"
408,"
I wanted to buy a budget 5g phone for my wife having  following criteria:-1. Superb design2. Good Ram and ROM3. Good camera if not Superb4. Good screen if not best5. No bloatware and stock android6. And finally, Good battery with day day performance as my wife don't play game.I am truly happy to share that this phone has exceeded my expectations in every corner. Actually, I was little skeptical about the screen as it is only HD plus, however to my surprise, it is best HD plus display I have every seen. Not much difference. Camera also exceeded my expectations, though little improvement is required in white exposure. And surprisingly,  it is from indian brand Lava. Long live Lava!! Keep doing great. I am owing samsung but I swear If Lava keeps doing this, my next phone will be from Lava. Everyone in my family and friends praised this. My true words.Few things which was a true surprise as I didn't expect at all in this price segment:-1. Haptics (best means best, even better than premium segment phones)2. Screen color reproduction is sometimes equal to that of Amoled, though not always. But believe me HD plus display will not be a regret.3. awesome Ram management and UFC 2.1 will definitely make your feel of using a premium phones4. Looks - not even 25 to 30k phone will come near to this.Though, some cons are also there-1. Slow charger - takes around 3 hours to charge battery, though battery backup is Superb.2. Video lags in 2k 60 FPS, though work fine in 1080 60 fps. This really requires efforts from Lava as it is possible to improve via update.3. Camera white exposure and portrait mode requires improvements.4. Background stream - in review videos, option of background stream like YouTube is shown, however in reality, I am unable to see this. Please get this done with an update.5. Last but not least - place of fingerprint sensor or power key sometimes feel uncomfortable for new user. Though, not an issue after some days use.If the above issues are possible to resolve, please resolve Lava.No phone can come close to this pure stock android experience in this price range.However, the way you have made a come back in indian market is Superb. All the best my indian company. Keep doing great.
"
409,"
We are using from 1 month. It's giving very high performance. It is giving more than expected. But there is need to improve the camera department. Sharpness is not their in the picture by camera. We are genuinely writing the review. Handling games very easily. 1000 times better than China mobiles. I'm using poco m4 5g but it is not better than lava blaze 5g. Lava is better ever and forever. We used 3 lava mobiles till now these mobiles gave maximum performance.
"
410,"
This phone is awesome! This is my first 5g enabled phone, and man, with 8gb Ram and all the cool features. It makes for an amazing deal.Yes, the camera may not be as clickalious as other costlier brands there. But hey, if you're looking for a performance phone, at this price this is the best deal out there.To sum it up, I just love it.
"
411,"
Posting this review after using Blaze 5G for 6 months. Overall my experience is quite good. This was my 1st Lava phone, so initially I was hesitating before purchase. It turned out to be much much better than my expectations. Few aspects where LAVA can improve is having its own apps like gallery, file explorer etc. But currently, it has google apps for gallery and files, and they work well on the system. Never saw the phone getting hanged, never faced any bugs/glitches.Somehow there is poor perception for phones of Indian brands that they can't be as good as Chinese/Korean phones, but LAVA is agressively correcting this wrong perception. Now LAVA played really well by providing an upgrade to Android 13 on this august! So happy about this, it's really cool.
"
412,"
After using we can give best feedback
"
413,"
आज मैं तीन माह के बाद रिव्यू लिख रहा हु।फोन अपने प्राइज में बहुत ही अच्छी है। लेकिन फोन यूज करते समय थोड़ा गर्म महसूस होती है और चार्जिंग स्पीड बहुत ही कम है । बाकी फोन सभी तरीके से अच्छा लगा इसमें कुछ अच्छे फिचर्स मिलते है जो बाकी के फोन में नहीं मिलते है।
"
414,"
Phone working properly but charger not working.
"
415,"
I was a bit reluctant to buy a phone from Lava as earlier they used to be cheap Chinese knockoffs. But this phone was a pleasant surprise.The best thing about this phone is that there are no advertisements (annoying notifications) or bloatware. Stock Android would have been an icing on the cake, but it is good enough. At less than 13K a 5G device with 8 GB RAM and 128 GB storage is already more than expected. Finally the processor is good enough for day to day use. I don't play games.
"
416,"
Average
"
417,"
Good product
"
418,"
the screen cracked after an accident, i had not put a tempered glass, the service center charged me 3200 including other charges, no pukka bill just a print out, but the phone is good though havent really check the performance with parameters
"
419,"
Good product at low price
"
420,"
Camera good
"
421,"
Touch is fine, internet connectivity is fine. Pricewise good but fingerprint is too sensitive. Screenshot taking is little difficult. Hanging starts a very early stage. You have lock & unlock to resolve it.
"
422,"
This is best value for money 5G phone.  Overall, the phones feel premium.  Camera is above average and so overall good and it is by default tunned especially for low light photos. However, one can use pro mode to adjust exposure to some extent. At times for some modes, you may see pixelation. The macro shots taken in Sunlight are highly exposed. The long shots in day and night are good. Video has EIS, Slow motion and Time Lapse and screen recording options.  Music Sound, Call quality and call recording is decent. Display is overall good.  Almost pure android 12.  I could test Airtel 5G and Reliance Jio 5G on this phone and I got speed upto 300 mbps on Airtel 5G and 500 mbps speed on Reliance Jio 5G. So, the phone is 5G ready out of the box. Duel port charger is provided.Further improvements expected:-Need wireless FM.-Need camera tunning to adjust exposure to Sun light in all modes-Need more PPI.-Side buttons and senser position and button length is a little problem when attaching phone on the Tripod.-Double tap screen wake up / off missing- Need more gesture control options-Key board sensitivity is inconsistent for some applications and in web-based form fill in-Application like BHIM loads bit slower-Need Gorilla glass.Overall, very good efforts by an Indian company ""Lava"". I recommend this phone as long as it holds price upto12K.
"
423,"
Good 5G phone at this price.Using with airtel and Jio SIM and quite good speed (Compared with same SIM and other 5G phone).Battery backup is quite good .Even with using as hotspot for 10 hours ,still having around 30% battery left.Good voice clarity.Camera ok type.Moreover an Indian brand and a challenger to chinese brands.
"
424,"
This Indian phone is better than other 5g phone below 12k, and YouTube video playing in the background is amazing feature and more important thing 5g performance in this phone amazing ❤️❤️❤️...... I love this Indian phone.
"
425,"
I'm writing review after using phone 7 days it's Indian product and most thing no heating problem as like Chinese mobile if you talk by Chinese mobile you feel heating in ear so you have to make speaker on but same is not in lava battery long last for 3 days speaker voice very good screen refresh rate good camera not up to mark but in 12k price it's very good Indian 5G mobile no heating during charging and on long use.better quality then Chinese brand so everyone has to go for this Indian brand
"
426,"
Mobile phone not bad within this price, however complaints are, screen scratch gaurd not provided, front camera flash light not available, fingerprint scanner should be on back side identify where this phone has at power button and not acceptable, difficulty in touching the button through mobile case, simcard slot provided is not good and not standerd, poor quality, can place 2 sim cards but no memory card or can place only one sim card 1 or 2 with memory card which is not acceptable, also the mobile case provided does not have camera protection, the whole camera portion in mobile case is open, sound quality is best, c type cable provided, is ok but need to have a common USB type cable connection to all mobile phones, one usb slot available where in some other YouTube mobile revies, 2slots of usb connectios provided, this is confusing, 50 mp camera provided biut does not seems to be 50 mp. Front camera 8mp this also ok but does not have that much quality compaired to other 8 mp camera, front camera flash light should be there while taking the photos or vedios, these all mentioned facts need to be improve.The important part is about Amazon delivery which is not acceptable. Inspite of being prime member, still there was a delay in delivery and took three days, poor Amazon customer services, the same repeated standard reverts to everyone, no empathy, sympathy and special treatment to prime members also for early delivery, Amazon is cheating the customers inviting to become prime members, not acceptable from Amazon. Excuses given by Amazon services are also not genuine and are working like robots better place reboots to give the same standard reverts to customers.Over all 3 - 3 1/2 points out of 5 and 0 for amazon services
"
427,"
In this price giving 50mp camera, glass back, Large IPS LCD display with 90Hz, best 5g chipset with all bands and best connectivity in any location, this is something everyone can not able to do. The premiumness of it is awesome it doesn't feel cheap while holding. And overall camera experience of its camera really good. It takes nice shots, potrait and selfies and software is the best part of it because it's very clean and smooth. It's the best phone you can buy in this segment.
"
428,"
All ok but hitting small
"
429,"
I didn't expected it from lava but after holding phone in my hands I can say that lava is on right path. Phone quality is just awesome. Design is pleasing. Software and smoothness of phone is on next level. It can't be a 12000 phone. I am ready to pay 15-16000 for this type of device. Really feel proud by buying this phone. Hope more to come in future from lava with this type of quality and features.Battery and software is very goodDesign and Build quality awesomeCamera goodMade in india very good.Well done lava. Keep it up. We are here to support you. Proudly indian.
"
430,"
Pros:1. 6GB/128 GB2. Design3. 90 Hz Refresh rate4. 2K video with EIS support5. Selfie CamCons:1. No Noise cancellation Mike2. Unwanted enhancing pictures while taking in rear camera.3. Bulk sized captured images4. Pixel broken images5. Speaker quality not upto the mark
"
431,"
Screen record feature, inbuilt gallery is not available. Rest of the features are simply superb.
"
432,"
After using 3 weeks typing this review.1. Best phone in this budget .2.All features are working smoothly even touch screen is very fast .3. In my area 5 G network trial is running and the phone is working in 5 G .4. Be real smart buyer ,accept this type phone and say no to China phone.5 . Battery back up is also very good.6.Full charge  in 1 Hr approx.7.camera is good8 . Very happy with the overall performance of the lava 5 G Blaze.
"
433,"
1. This phone doesn't have Front flash for camera. (That's the basic need you have not given).2. Phone is consuming too much battery even though I have not installed many apps. (My previous phone with same battery 5000mAh and having so many apps and gives good backup than this).Otherwise, camera quality, look and processor is good.My need was to have good battery backup and a good processor but it is able to fulfil only one. Not that much satisfied with this.
"
434,"
It's been 15days using this mobileIt's superb , battery is so good that i can't believe. It's looks like I phone, body is so clean and neat and perfectly designed. I loved it i bought that for my wife and she's is happy. More over its an huge success for lava . Made in India. Jaihind .
"
435,"
Mobile 📱 Disayala khup mast aheOfficel StandardFeechare is good 👍
"
436,"
Bought it for my Mom. It is smooth fast and bloat free. It's camera is very good even after transferring to computer. No distortion. The photos taken using HD mode gives you much more clarity. Though the display is HD+  the videos are like planning in a hd+ display. Battery backup also very good. Charging once in two days without any gaming but only hotstar and YouTube videos. Totally satisfied.
"
437,"
It's a nice budget friendly phone. Got great features. Good processor as per the price range. Camera is decent. Battery backup is good. Although Sim injector pin was missing from the pack
"
438,"
After using Lava blaze mobile for two days I think this mobile is very good.  No problem, only the charger heats up while charging.  Battery drains faster when on net maybe it's due to 5g. but feeling is so soft
"
439,"
फोन गर्म बहुत होता है और बहुत जल्दी  भी
"
440,"
If someone is looking for 5g phone under 12k then this smartphone is one of the best Option availableNo lag smooth experience , Glass Body and 5g ,Camera also Decent for the Price rangeMust Recommend to whom who are Looking for the Smartphone under this budget 🔥
"
441,"
Giving review after 5 days use. Awesome battery, good performance , stylish design, no heating issue. Everything is fine. You can go for it.
"
442,"
Phone like this from an Indian brand in this price range is commendable. Build quality is superb, 5g network is working great, wonderful performance, 6gb ram and 128gb ufs 2.2 storage is doing fine job. Camera quality is also good according to price
"
443,"
Mobile hit,slow charging
"
444,"
Not like expected as lava gives more features but this device camera is normal
"
